Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;20:37:59;0;0;67;0;1;297;0;0;0;1
OPEN;19/06/2025;20:38:29;0;0;8;0;1;300;0;0;0;1
OPEN;19/06/2025;20:38:59;0;0;0;35;1;312;0;0;0;1
OPEN;19/06/2025;20:39:29;0;0;30;0;1;292;0;0;0;1
OPEN;19/06/2025;20:39:59;0;0;92;0;1;334;0;0;0;1
OPEN;19/06/2025;20:40:29;0;0;88;0;1;319;0;0;0;1
OPEN;19/06/2025;20:40:59;0;0;45;0;1;308;0;0;0;1
OPEN;19/06/2025;20:41:29;0;0;0;18;1;281;0;0;0;1
OPEN;19/06/2025;20:41:59;0;0;0;35;1;301;0;0;0;1
OPEN;19/06/2025;20:42:29;0;0;46;0;1;257;0;0;0;1
OPEN;19/06/2025;20:42:59;0;0;96;0;1;283;0;0;0;1
OPEN;19/06/2025;20:43:29;0;0;84;0;1;311;0;0;0;1
OPEN;19/06/2025;20:43:59;0;0;38;0;1;297;0;0;0;1
OPEN;19/06/2025;20:44:29;0;0;0;31;1;300;0;0;0;1
OPEN;19/06/2025;20:44:59;0;0;0;22;1;292;0;0;0;1
OPEN;19/06/2025;20:45:29;0;0;71;0;1;317;0;0;0;1
OPEN;19/06/2025;20:45:59;0;0;100;0;1;313;0;0;0;1
OPEN;19/06/2025;20:46:29;0;0;80;0;1;307;0;0;0;1
OPEN;19/06/2025;20:46:59;0;0;23;0;1;327;0;0;0;1
OPEN;19/06/2025;20:47:29;0;0;0;40;1;291;0;0;0;1
OPEN;19/06/2025;20:47:59;0;0;0;14;1;325;0;0;0;1
OPEN;19/06/2025;20:48:29;0;0;80;0;1;334;0;0;0;1
OPEN;19/06/2025;20:48:59;0;0;96;0;1;312;0;0;0;1
OPEN;19/06/2025;20:49:29;0;0;63;0;1;280;0;0;0;1
OPEN;19/06/2025;20:49:59;0;0;4;5;1;281;0;0;0;1
OPEN;19/06/2025;20:50:29;0;0;0;40;1;300;0;0;0;1
OPEN;19/06/2025;20:50:59;0;0;25;0;1;280;0;0;0;1
OPEN;19/06/2025;20:51:29;0;0;92;0;1;303;0;0;0;1
OPEN;19/06/2025;20:51:59;0;0;92;0;1;289;0;0;0;1
OPEN;19/06/2025;20:52:29;0;0;49;0;1;283;0;0;0;1
OPEN;19/06/2025;20:52:59;0;0;0;18;1;277;0;0;0;1
