Breaks;Date;Time;VIDANGE_CANIVEAU [B];CONSIGNE_ROTATION [I];CONSIGNE_TEMP_INF [R];CONSIGNE_TEMP_SUP [R];DESHUMIDIFICATEUR [B];POIDS_EAU_CELLULE [R];POMPE_GENER_CHAUD [B];POMPE_GENER_FROID [B];TEMPERATURE_SONDE [R];V2V_ABSORBTION_O2 [B]
OPEN;19/06/2025;10:41:12;0;0;12;12;0;4,54217;1;1;12,3;0
OPEN;19/06/2025;10:41:37;0;0;12;12;1;4,54217;1;1;12,3;0
OPEN;19/06/2025;10:42:07;0;0;12;12;1;4,6241298;1;1;12;0
OPEN;19/06/2025;10:42:37;0;0;12;12;1;5,1849818;1;1;12;0
OPEN;19/06/2025;10:42:48;0;0;12;12;1;5,8339338;1;1;12,1;0
OPEN;19/06/2025;10:43:07;0;0;12;12;0;5,8339338;1;1;12,1;0
OPEN;19/06/2025;10:43:37;0;0;12;12;0;6,2774854;1;1;12,4;0
OPEN;19/06/2025;10:44:02;0;0;12;12;0;5,3783889;1;1;12,5;0
OPEN;19/06/2025;10:44:07;0;0;12;12;1;5,3783889;1;1;12,5;0
OPEN;19/06/2025;10:44:37;0;0;12;12;1;4,4211049;1;1;12,2;0
OPEN;19/06/2025;10:45:07;0;0;12;12;1;4,6384788;1;1;12;0
OPEN;19/06/2025;10:45:37;0;0;12;12;1;5,2200918;1;1;11,9;0
OPEN;19/06/2025;10:45:42;0;0;12;12;1;5,9520431;1;1;12,1;0
OPEN;19/06/2025;10:46:07;0;0;12;12;0;5,9520431;1;1;12,1;0
OPEN;19/06/2025;10:46:37;0;0;12;12;0;6,2240005;1;1;12,3;0
OPEN;19/06/2025;10:46:58;0;0;12;12;0;5,0634375;1;1;12,4;0
OPEN;19/06/2025;10:47:07;0;0;12;12;1;5,0634375;1;1;12,4;0
OPEN;19/06/2025;10:47:37;0;0;12;12;1;4,2846098;1;1;12,2;0
OPEN;19/06/2025;10:48:07;0;0;12;12;1;4,6700354;1;1;12;0
OPEN;19/06/2025;10:48:37;0;0;12;12;1;5,4093475;1;1;12;0
OPEN;19/06/2025;10:48:38;0;0;12;12;1;6,0722804;1;1;12,2;0
OPEN;19/06/2025;10:49:07;0;0;12;12;0;6,0722804;1;1;12,2;0
OPEN;19/06/2025;10:49:37;0;0;12;12;0;5,954062;1;1;12,4;0
OPEN;19/06/2025;10:49:53;0;0;12;12;0;4,8453264;1;1;12,4;0
OPEN;19/06/2025;10:50:07;0;0;12;12;1;4,8453264;1;1;12,4;0
OPEN;19/06/2025;10:50:37;0;0;12;12;1;4,2556748;1;1;12,1;0
OPEN;19/06/2025;10:51:07;0;0;12;12;1;4,857141;1;1;12;0
OPEN;19/06/2025;10:51:32;0;0;12;12;1;5,4826145;1;1;12;0
OPEN;19/06/2025;10:51:37;0;0;12;12;0;5,4826145;1;1;12;0
OPEN;19/06/2025;10:52:07;0;0;12;12;0;6,1536326;1;1;12,2;0
OPEN;19/06/2025;10:52:37;0;0;12;12;0;5,954062;1;1;12,4;0
OPEN;19/06/2025;10:52:48;0;0;12;12;0;4,6661758;1;1;12,4;0
OPEN;19/06/2025;10:53:07;0;0;12;12;1;4,6661758;1;1;12,4;0
OPEN;19/06/2025;10:53:37;0;0;12;12;1;4,3321981;1;1;12,1;0
OPEN;19/06/2025;10:54:07;0;0;12;12;1;4,8119216;1;1;12;0
OPEN;19/06/2025;10:54:28;0;0;12;12;1;5,7179165;1;1;12;0
OPEN;19/06/2025;10:54:37;0;0;12;12;0;5,7179165;1;1;12;0
OPEN;19/06/2025;10:55:07;0;0;12;12;0;6,1946759;1;1;12,2;0
OPEN;19/06/2025;10:55:37;0;0;12;12;0;5,7445211;1;1;12,4;0
OPEN;19/06/2025;10:55:43;0;0;12;12;0;4,4619117;1;1;12,4;0
OPEN;19/06/2025;10:56:07;0;0;12;12;1;4,4619117;1;1;12,4;0
OPEN;19/06/2025;10:56:37;0;0;12;12;1;4,5618806;1;1;12,1;0
OPEN;19/06/2025;10:57:07;0;0;12;12;1;5,1045585;1;1;12;0
OPEN;19/06/2025;10:57:23;0;0;12;12;1;5,6696601;1;1;12;0
