Datetime;Breaks;HYGROMETRIE_CELLULE [I];HYGROMETRIE_CONSIGNE [I];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];POIDS_EAU_CELLULE [R];POIDS_EAU_CONSIGNE [R]
2025-02-25 21:09:53;;76.0;3.0;-0.60000002;-0.64;2.7379961;0.10762374
2025-02-25 21:10:23;;77.0;3.0;-0.40000001;-0.64;2.8152554;0.10762374
2025-02-25 21:10:53;;78.0;3.0;-0.30000001;-0.64;2.8729951;0.10762374
2025-02-25 21:11:23;;79.0;3.0;-0.40000001;-0.64;2.8887181;0.10762374
2025-02-25 21:11:53;;79.0;3.0;-0.5;-0.64;2.8675749;0.10762374
2025-02-25 21:12:23;;78.0;3.0;-0.5;-0.64;2.8311114;0.10762374
2025-02-25 21:12:53;;79.0;3.0;-0.40000001;-0.64;2.8887181;0.10762374
2025-02-25 21:13:23;;80.0;3.0;-0.40000001;-0.6725;2.925456;0.10762374
2025-02-25 21:13:53;;80.0;3.0;-0.40000001;-0.6725;2.925456;0.10762374
2025-02-25 21:14:23;;80.0;3.0;-0.5;-0.6725;2.904043;0.10762374
2025-02-25 21:14:53;;81.0;3.0;-0.40000001;-0.6725;2.9621987;0.10762374
2025-02-25 21:15:23;;81.0;3.0;-0.30000001;-0.6725;2.9840252;0.10762374
2025-02-25 21:15:53;;81.0;3.0;-0.30000001;-0.6725;2.9840252;0.10762374
2025-02-25 21:16:23;;82.0;3.0;-0.40000001;-0.6725;2.9989452;0.10762374
2025-02-25 21:16:53;;81.0;3.0;-0.5;-0.6725;2.940515;0.10762374
2025-02-25 21:17:23;;81.0;3.0;-0.5;-0.6725;2.940515;0.10762374
2025-02-25 21:17:53;;81.0;3.0;-0.40000001;-0.6725;2.9621987;0.10762374
2025-02-25 21:18:23;;82.0;3.0;-0.30000001;-0.705;3.021044;0.10683821
2025-02-25 21:18:53;;82.0;3.0;-0.30000001;-0.705;3.021044;0.10683821
2025-02-25 21:19:23;;82.0;3.0;-0.5;-0.705;2.9769917;0.10683821
2025-02-25 21:19:53;;81.0;3.0;-0.80000001;-0.705;2.8763111;0.10683821
2025-02-25 21:20:23;;80.0;3.0;-0.80000001;-0.705;2.8406386;0.10683821
2025-02-25 21:20:53;;79.0;3.0;-0.69999999;-0.705;2.825702;0.10683821
2025-02-25 21:21:23;;80.0;3.0;-0.60000002;-0.705;2.8827693;0.10683821
2025-02-25 21:21:53;;80.0;3.0;-0.5;-0.705;2.904043;0.10683821
2025-02-25 21:22:23;;81.0;3.0;-0.40000001;-0.705;2.9621987;0.10683821
2025-02-25 21:22:53;;82.0;3.0;-0.40000001;-0.705;2.9989452;0.10683821
2025-02-25 21:23:23;;82.0;3.0;-0.60000002;-0.7375;2.9551809;0.10683821
2025-02-25 21:23:53;;81.0;3.0;-0.60000002;-0.7375;2.9189727;0.10683821
2025-02-25 21:24:23;;81.0;3.0;-0.60000002;-0.7375;2.9189727;0.10683821
2025-02-25 21:24:53;;81.0;3.0;-0.5;-0.7375;2.940515;0.10683821
2025-02-25 21:25:23;;82.0;3.0;-0.40000001;-0.7375;2.9989452;0.10683821
2025-02-25 21:25:53;;82.0;3.0;-0.30000001;-0.7375;3.021044;0.10683821
