Datetime;Breaks;VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];TEMPERATURE_SONDE [R];PRESSION_EXTERIEUR [R];HYGROMETRIE_CELLULE [R];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];TEMPERATURE_SOUFFLAGE [R];TEMPERATURE_ALLER_CHAUD [R];TEMPERATURE_ALLER_FROID [R];MA_VARIATEUR [B]
2024-05-12 13:05:22;;37;0;13,5;1055;45;13,4;15;15,2;43,599998;-11,9;0
2024-05-12 13:10:22;;45;0;13,3;1055;44;13;15;14,8;43,700001;-11,7;0
2024-05-12 13:15:22;;41;0;13,7;1055;44;13,2;15;15,1;44;-11,3;0
2024-05-12 13:20:22;;49;0;13,3;1055;43;12,8;15;14,7;43,400002;-11,7;0
2024-05-12 13:25:22;;41;0;13,9;1055;43;13,2;15;15,3;43,299999;-11,1;0
2024-05-12 13:30:22;;27;0;14,5;1055;43;13,9;15;16,200001;43,900002;-12;0
2024-05-12 13:35:22;;9;0;15,1;1055;45;14,8;15;17;43,299999;-11,5;0
2024-05-12 13:40:22;;0;7;15,3;1055;47;15,3;15;17,200001;44;-11,1;0
2024-05-12 13:45:22;;9;0;14,7;1055;47;14,8;15;16,700001;43,799999;-11,5;0
2024-05-12 13:50:22;;19;0;14,3;1055;47;14,3;15;16,200001;43,200001;-11,9;0
2024-05-12 13:55:23;;21;0;14,3;1055;47;14,2;15;16;44;-11,5;0
2024-05-12 14:00:23;;33;0;13,7;1055;46;13,6;15;15,5;43,5;-11,4;0
2024-05-12 14:05:23;;43;0;13,3;1055;45;13,1;15;14,9;43;-11,7;0
2024-05-12 14:10:23;;49;0;13,3;1055;43;12,8;15;14,6;43,099998;-11,6;0
2024-05-12 14:15:23;;41;0;13,8;1055;44;13,2;15;15,3;44,099998;-10,9;0
2024-05-12 14:20:23;;45;0;13,7;1055;42;13;15;15,1;43,5;-12;0
2024-05-12 14:25:23;;27;0;14,6;1055;43;13,9;15;16,1;43;-11,4;0
2024-05-12 14:30:23;;3;4;15,3;1055;46;15,1;15;17,1;43,799999;-11,7;0
2024-05-12 14:35:23;;1;6;15,1;1055;47;15,2;15;17,1;43,599998;-10,8;0
2024-05-12 14:40:23;;9;0;14,7;1055;47;14,8;15;16,6;44,099998;-11,7;0
2024-05-12 14:45:23;;17;0;14,3;1055;46;14,4;15;16,299999;44;-11,6;0
2024-05-12 14:50:23;;27;0;13,9;1055;47;13,9;15;15,7;43,400002;-11,4;0
2024-05-12 14:55:23;;41;0;13,4;1055;46;13,2;15;15;43,599998;-11,2;0
2024-05-12 15:00:24;;39;0;13,7;1055;45;13,3;15;15,1;43,200001;-11,1;0
2024-05-12 15:05:24;;49;0;13,3;1055;43;12,8;15;14,6;44,099998;-12;0
2024-05-12 15:10:24;;39;0;13,9;1055;43;13,3;15;15,4;43,400002;-11,5;0
2024-05-12 15:15:24;;45;0;13,7;1055;42;13;15;15,1;43,700001;-11,1;0
2024-05-12 15:20:24;;31;0;14,3;1055;42;13,7;15;15,9;43,599998;-11,6;0
2024-05-12 15:25:24;;9;0;15,2;1055;45;14,8;14,4;16,9;43;-11,5;0
2024-05-12 15:30:24;;3;4;14,3;1055;48;14,5;13,9;16,200001;43,099998;-10,9;0
2024-05-12 15:35:24;;15;0;13,2;1055;47;13,4;13,4;15,2;43;-10,9;0
2024-05-12 15:40:24;;21;0;12,4;1055;47;12,6;12,9;14,3;44;-11,6;0
2024-05-12 15:45:24;;21;0;12;1055;46;12,1;12,3;13,8;43,5;-10,6;0
2024-05-12 15:50:24;;13;0;11,7;1055;47;11,9;11,8;13,4;44;-11,6;0
2024-05-12 15:55:24;;19;0;10,8;1055;46;11,1;11,3;12,6;43,5;-10,6;0
2024-05-12 16:00:25;;17;0;10,5;1055;47;10,7;10,8;12,2;43,400002;-11;0
2024-05-12 16:05:25;;1;6;10,2;1055;47;10,5;10,3;11,8;44,299999;-9,6999998;0
2024-05-12 16:10:25;;15;0;9,5;1055;47;9,8000002;9,7;11;43,700001;-10,8;0
2024-05-12 16:15:25;;13;0;9;1055;47;9,3000002;9,2;10,5;43,900002;-11,3;0
2024-05-12 16:20:25;;13;0;8,5;1055;47;8,8000002;8,7;10;43,799999;-11;0
2024-05-12 16:25:25;;9;0;8,1999998;1055;48;8,5;8,2;9,6000004;43,200001;-9,8999996;0
2024-05-12 16:30:25;;7;2;7,6999998;1055;49;8,1000004;7,7;9;44,099998;-10,7;0
2024-05-12 16:35:25;;0;8;6,9000001;1055;48;7,3000002;7,1;8,3000002;43,5;-10,6;0
2024-05-12 16:40:25;;13;0;6,4000001;1055;48;6,6999998;6,6;7,5999999;44;-11,7;0
2024-05-12 16:45:25;;0;7;6,0999999;1055;49;6,4000001;6,1;7,1999998;43,400002;-11,2;0
2024-05-12 16:50:25;;0;7;5,5999999;1055;50;5,9000001;5,6;6,8000002;43,900002;-11,5;0
2024-05-12 16:55:25;;0;8;5,0999999;1055;49;5,5;5,1;6,3000002;43,900002;-11,8;0
2024-05-12 17:00:26;;0;10;4,5999999;1055;50;5;4,5;5,5999999;43,400002;-11,7;0
2024-05-12 17:05:26;;0;7;4;1055;50;4,3000002;4;4,9000001;43,799999;-11;0
2024-05-12 17:10:26;;0;11;3,8;1055;52;4,0999999;3,5;4,5999999;43,5;-12;0
2024-05-12 17:15:26;;0;11;3,3;1055;53;3,5999999;3;4,0999999;43,099998;-11,6;0
2024-05-12 17:20:26;;0;10;2,9000001;1055;53;3;2,5;3,5999999;43,900002;-11,1;0
2024-05-12 17:25:26;;0;11;2,3;1055;52;2,5;1,9;3,0999999;43,400002;-11,8;0
