Datetime,Breaks,Date,Time,VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],TEMPERATURE_SONDE [R],PRESSION_EXTERIEUR [R],HYGROMETRIE_CELLULE [R],TEMPERATURE_REPRISE [R],TEMPERATURE_CONSIGNE [R],TEMPERATURE_SOUFFLAGE [R],TEMPERATURE_ALLER_CHAUD [R],TEMPERATURE_ALLER_FROID [R],MA_VARIATEUR [B]
1756741234.0,0.0,0.0,0.0,28.3,0.35,19.2300003,1055.0,60.5,18.9200002,20.0,21.0600002,43.55,-5.11000004,0.0
1756741534.0,0.0,0.0,0.0,32.0,0.15,19.0900001,1055.0,58.2,18.6199999,20.0,20.8200003,43.1300004,-5.21000004,0.0
1756741834.0,0.0,0.0,0.0,27.4,0.4,19.29000015,1055.0,58.55,18.8100003,20.0,21.01,43.25500015,-5.484999915,0.0
1756742134.0,0.0,0.0,0.0,22.3,0.4,19.5149999,1055.0,60.4,19.1349999,20.0,21.41000005,43.4299999,-5.175000025,0.0
1756742434.0,0.0,0.0,0.0,29.142857142857142,0.3571428571428571,19.121428285714284,1055.0,60.07142857142857,18.7928575,20.0,20.928571428571427,43.057143142857136,-5.5428570285714285,0.0
1756742735.0,0.0,0.0,0.0,32.8,0.0,19.0600002,1055.0,59.0,18.6199998,20.0,20.8000001,43.3899992,-5.03000002,0.0
1756743035.0,0.0,0.0,0.0,28.2,0.6,19.2400003,1055.0,58.8,18.79,20.0,21.02,43.3099998,-5.49999995,0.0
1756743335.0,0.0,0.0,0.0,22.1,0.6,19.53,1055.0,60.0,19.11,20.0,21.31,42.7199996,-5.45000005,0.0
1756743635.0,0.0,0.0,0.0,24.0,0.3,19.41499995,1055.0,61.4,19.1399999,20.0,21.24999975,43.0899997,-5.2649999350000005,0.0
1756743935.0,0.0,0.0,0.0,32.6,0.0,19.02499975,1055.0,58.7,18.62,20.0,20.7649996,43.74500035,-4.85,0.0
1756744235.0,0.0,0.0,0.0,28.4,0.5,19.2700001,1055.0,58.75,18.829999800000003,20.0,21.0250003,43.1950001,-5.46999998,0.0
1756744535.0,0.0,0.0,0.0,26.33333333333333,0.2,19.33333333333333,1055.0,59.266666666666666,18.9,20.0,21.0933332,43.086666933333326,-5.373333226666667,0.0
1756744836.0,0.0,0.0,0.0,21.7,0.7,19.5099998,1055.0,61.1,19.2000002,20.0,21.36,43.459999800000006,-5.25999999,0.0
1756745136.0,0.0,0.0,0.0,37.1,0.0,18.75,1055.0,58.4,18.4400001,20.0,20.6000001,42.9899992,-5.34999995,0.0
1756745436.0,0.0,0.0,0.0,28.0,0.5,19.2500001,1055.0,58.8,18.8,20.0,20.9100002,43.2800004,-5.35999999,0.0
1756745736.0,0.0,0.0,0.0,22.8,0.5,19.4600001,1055.0,60.3,19.0800002,20.0,21.3200002,43.2599993,-5.25,0.0
1756746036.0,0.0,0.0,0.0,23.8,0.3,19.3800003,1055.0,61.05,19.065,20.0,21.2150003,42.89499935,-5.26999998,0.0
1756746336.0,0.0,0.0,0.0,34.76470588235294,0.0,18.92352923529412,1055.0,58.23529411764706,18.511764529411764,20.0,20.658823647058824,43.47647047058824,-5.529411705882353,0.0
1756746637.0,0.0,0.0,0.0,33.8421052631579,0.4210526315789473,18.90526310526316,1055.0,57.26315789473684,18.47894705263158,20.0,20.652631315789478,43.247368736842105,-5.247368436842105,0.0
1756746937.0,0.0,0.0,0.0,22.1,0.5,19.4199999,1055.0,60.4,19.12,20.0,21.2600001,42.9400002,-5.11000004,0.0
1756747237.0,0.0,0.0,0.0,22.7,0.6,19.4500002,1055.0,61.2,19.16,20.0,21.3000003,43.5200001,-5.19000006,0.0
