Breaks,Date,Time,BP_R134_EN_BARS [R],HP_R134_EN_BARS [R],BP_R134_EN_DEGRES [R],HP_R134_EN_DEGRES [R],CONSIGNE_BALLON_CHAUD [R],CONSIGNE_BALLON_FROID [R],TEMPERATURE_MEG_CHAUD [R],TEMPERATURE_MEG_FROID [R]
nan,,,0.99759996,8.9049997,-9.9809971,38.785591,45.0,-6.0,44.799999,-7.1999998
nan,,,1.0148799,8.875,-9.7664356,38.677711,45.0,-6.0,44.900002,-7.0999999
nan,,,1.0302399,8.8199997,-9.5770817,38.479225,45.0,-6.0,44.900002,-6.9000001
nan,,,1.03792,8.7749996,-9.4828815,38.316162,45.0,-6.0,44.900002,-6.8000002
nan,,,1.04368,8.6849995,-9.4124393,37.98822,45.0,-6.0,44.900002,-6.8000002
nan,,,1.0455999,8.6199999,-9.388998,37.749855,45.0,-6.0,44.900002,-6.8000002
nan,,,1.05136,8.5500002,-9.3187847,37.49173,45.0,-6.0,44.900002,-6.8000002
nan,,,1.05904,8.4799995,-9.2254429,37.232094,45.0,-6.0,44.900002,-6.8000002
nan,,,1.0763199,8.4200001,-9.016531,37.008362,45.0,-6.0,44.900002,-6.6999998
nan,,,1.0782399,8.375,-8.9934177,36.839836,45.0,-6.0,44.900002,-6.5999999
nan,,,1.0801599,8.3199997,-8.9703159,36.632996,45.0,-6.0,44.900002,-6.5999999
nan,,,1.084,8.2699995,-8.9241734,36.444153,45.0,-6.0,44.900002,-6.5999999
nan,,,1.08784,8.1999998,-8.8781052,36.178452,45.0,-6.0,44.900002,-6.5999999
nan,,,1.09744,8.1549997,-8.7632599,36.006836,45.0,-6.0,44.900002,-6.5999999
nan,,,1.09744,8.1549997,-8.7632599,36.006836,45.0,-6.0,44.900002,-6.5999999
nan,,,1.11472,8.0999994,-8.5576859,35.796196,45.0,-6.0,44.900002,-6.5999999
nan,,,1.11472,8.0999994,-8.5576859,35.796196,45.0,-6.0,44.900002,-6.5
nan,,,1.1128,8.0599995,-8.5804539,35.64241,45.0,-6.0,44.900002,-6.5
nan,,,1.1128,8.0599995,-8.5804539,35.64241,45.0,-6.0,44.900002,-6.4000001
nan,,,1.1128,8.0299997,-8.5804539,35.526726,45.0,-6.0,44.900002,-6.4000001
nan,,,1.1128,8.0299997,-8.5804539,35.526726,45.0,-6.0,45.0,-6.4000001
nan,,,1.11472,8.0299997,-8.5804539,35.526726,45.0,-6.0,45.0,-6.4000001
